year,state,recipients,rm000
2019,Johor,5507,13067.3
2019,Kedah,7486,18971.4
2019,Kelantan,7865,13366.6
2019,Melaka,5337,13214.59
2019,Negeri Sembilan,5325,11520.06
2019,Pahang,3004,10503.9
2019,Perak,8027,28597.85
2019,Perlis,3415,6480.55
2019,Pulau Pinang,1748,6234.05
2019,Sabah,18245,38868.624
2019,Sarawak,9761,30459.6
2019,Selangor,4991,15655.8
2019,Terengganu,20680,51709.2
2019,W.P.Kuala Lumpur,1880,4834.82
2019,W.P. Labuan,281,621.75
2019,W.P.Putrajaya,13,24.7
2019,"Jumlah
Total",103565,264130.794
